Semana,Filas_unicas,strength,date
2011-00,1.0,2011-08,508.57142857142856
2011-01,0.0,2011-09,134.6
2011-02,0.0,2011-10,220.92307692307693
2011-03,2.0,2011-12,748.547619047619
2011-04,1.0,2011-13,424.5625
2011-05,0.0,2011-14,157.625
2011-06,0.0,2011-17,377.06666666666666
2011-07,1.0,2011-18,543.8518518518518
2011-08,2.0,2011-19,266.75
2011-09,2.0,2011-22,354.625
2011-10,2.0,2011-24,1040.842105263158
2011-11,0.0,2011-28,520.2857142857143
2011-12,5.0,2011-34,483.8181818181818
2011-13,1.0,2011-36,628.6153846153846
2011-14,2.0,2011-37,1377.1290322580646
2011-15,2.0,2011-38,1040.1
2011-16,3.0,2011-39,860.0958904109589
2011-17,2.0,2011-40,1323.517857142857
2011-18,0.0,2011-41,567.2380952380952
2011-19,0.0,2011-42,476.8148148148149
2011-20,2.0,2011-43,577.0
2011-21,2.0,2011-44,1182.1847826086955
2011-22,5.0,2011-45,364.8518518518519
2011-23,0.0,2011-46,711.4
2011-24,2.0,2011-47,746.4285714285714
2011-25,0.0,2011-48,1126.279411764706
2011-26,1.0,2011-49,368.4666666666666
2011-27,0.0,2011-50,706.5294117647059
2011-28,2.0,2011-51,548.9166666666666
2011-29,1.0,2011-52,761.7142857142857
2011-30,2.0,2012-01,1119.875
2011-31,0.0,,
2011-32,0.0,,
2011-33,3.0,,
2011-34,5.0,,
2011-35,3.0,,
2011-36,3.0,,
2011-37,3.0,,
2011-38,3.0,,
2011-39,4.0,,
2011-40,3.0,,
2011-41,2.0,,
2011-42,4.0,,
2011-43,3.0,,
2011-44,4.0,,
2011-45,7.0,,
2011-46,6.0,,
2011-47,4.0,,
2011-48,3.0,,
2011-49,3.0,,
2011-50,0.0,,
2011-51,4.0,,
2011-52,3.0,,
